,Unnamed: 0,name,cost,competitive rate,code,date
411,411,한화에이스스팩4호,"2,000",0.73:1,279410,  2017.11.27
412,412,스튜디오드래곤,"35,000",320.11:1,253450,  2017.11.24
413,413,IBKS스팩7호,"2,000",79.91:1,276920,  2017.11.10
414,414,비디아이,"10,000",1239.8:1,148140,  2017.11.09
415,415,테이팩스,"23,000",2.05:1,55490,  2017.10.31
416,416,티슈진,"27,000",299.53:1,950160,  2017.11.06
417,417,영화테크,"12,500",1011.76:1,265560,  2017.10.26
418,418,세원,"5,700",640.36:1,234100,  2017.10.20
419,419,신한스팩4호,"2,000",8.74:1,277480,  2017.10.20
420,420,상신전자,"13,300",1002.23:1,263810,  2017.10.16
421,421,야스,"23,500",0.52:1,255440,  2017.09.29
